19   62    0.25    6    0.0001  
               
1
5
8
11
15
18
21
24
27
31
35
38
41
44
47
50
54
57
60
    
1	2	0.2	1	900	
1	4	0.75	2	900	
1	12	1.8	2	1500       
1	19	2.8	2	1500       
2	1	0.2	1	900	
2	3	0.35	1.5	900	
2	10	0.65	2	1200       
3	2	0.35	1.5	900	
3	4	0.4	1.5	600	
3	5	0.35	1	600	
4	1	0.75	2	900	
4	3	0.4	1.5	600	
4	6	9999	1	600	
4	7	0.8	2	900	
5	3	9999	1	600	
5	6	9999	1	600	
5	9	0.35	1	600	
6	4	.30 	1	600	
6	5	9999	1	600	
6	8	9999	1	600	
7	4	0.8	2	900	
7	8	0.15	1.5	600	
7	19	1.3	2	900	
8	6   .35  	1	600	
8	7	0.15	1.5	600	
8	9	0.5	1.5	600	
9	5	9999	1	600	
9	8	0.5	1.5	600	
9	10	0.4	1.5	600	
9	17	0.65	2	1200       
10	2	0.65	2	1200       
10	9	0.4	1.5	600	
10	11	0.3	1.5	900	
10	16	0.7	2	900	
11	10	0.3	1.5	900	
11	12	0.8	1	900	
11	13	0.6	1	1200       
12	1	1.8	2	1500       
12	11	0.8	1	900	
12	14	1.6	2	1200       
13	11	0.6	1	1200       
13	14	0.6	1	1200       
13	16	0.35	2	600	
14	12	1.6	2	1200       
14	13	0.6	1	1200       
14	15	0.3	1	900	
15	14	0.3	2	600	
15	16	0.7	2	900	
15	18	0.3	1	900	
16	10	0.7	2	900	
16	13	0.35	1	900	
16	15	0.7	2	900	
16	17	0.3	2	600	
17	9	0.65	2	1200       
17	16	0.3	1	900	
17	18	0.6	2	1200       
18	15	0.3	2	600	
18	17	0.6	2	1200       
18	19	0.7	1	900	
19	1	2.8	2	1500       
19	7	1.3	2	900	
19	18	0.7	1	900	
