John Gliebe
Portland State University
USP587,Introduction to Travel Demand Modeling

Highway Network User Equilibrium Assignment

Results of Analysis:

Total Vehicle-Minutes on the Network:,,,,7906.68
Iterations:,,17
Convergence:,,9.1487e-05

FromNode,ToNode,Flow (vph),V/C ratio,Congested Time (min),Free-flow Time (min)
1,3,63,1.05,17.3553,13
1,5,12,0.4,11.0113,11
1,6,5,0.333333,12.0041,12
2,4,23.5592,0.942366,14.1011,12
2,5,11,0.733333,5.19441,5
2,6,27.4408,0.914695,8.02493,7
3,1,52,1.15556,20.738,13
3,4,77.0213,1.28369,19.0679,9
3,6,25.9787,0.432979,13.0214,13
4,2,37.7404,0.838676,13.044,12
4,3,58.4813,1.29958,19.8395,9
4,6,50.7783,0.564203,6.04838,6
5,1,11,0.366667,11.0067,11
5,2,12,0.133333,5.00001,5
5,6,0,0,6,6
6,1,6,0.4,12.0123,12
6,2,14.2596,0.15844,7.00003,7
6,3,35.5187,0.789304,13.7859,13
6,4,53.4196,0.593551,6.06559,6
6,5,0,0,6,6
